org,AI Policy,languages,topics,kmeans_cluster
InfoSys,Allowed,"['Java', 'TypeScript', 'C#', 'Python', 'Dart']","['hacktoberfest', 'angular5', 'angular-cli', 'seed', 'best-practices']",0
Nvida,Allowed,"['JavaScript', 'HTML', 'CSS', 'Python']",[],1
Gnome,Hybrid,"['C', 'Vala', 'Python', 'C++', 'Scheme']",[],2
Servo,Not Allowed,"['HTML', 'C', 'C++', 'Rust', 'JavaScript']","['servo', 'rust', 'browser', 'webengine', 'web']",2
sass,Hybrid,"['SCSS', 'Dart', 'C++', 'TypeScript', 'Ruby']","['sass', 'node-sass', 'libsass', 'scss', 'sass-files']",0
elementary,Not Allowed,"['Vala', 'TypeScript', 'Meson', 'SCSS', 'PHP']","['hacktoberfest', 'meson', 'vala', 'gtk', 'gtk3']",0
Gentoo,Not Allowed,"['C', 'Shell', 'Assembly', 'Python', 'Makefile']","['hacktoberfest', 'ebuild-repository', 'gentoo', 'overlay', 'portage']",0
DeltaV-Station,Not Allowed,"['C#', 'Fluent', 'Python', 'CSS', 'PowerShell']","['c-sharp', 'game', 'spacestation13', 'spacestation14', 'ss13']",1
freeCodeCamp,Not Mention,"['JavaScript', 'CSS', 'TypeScript', 'HTML', 'Ruby']","['opensourceforgood', 'freecodecamp', 'nodejs', 'hacktoberfest', 'nonprofits']",1
codecrafters-io,Not Mention,"['C++', 'TypeScript', 'Go', 'JavaScript', 'Handlebars']","['awesome-list', 'sqlite', 'database', 'programming', 'tutorials']",0
facebook,Not Mention,"['C', 'C++', 'Java', 'JavaScript', 'Python']","['react', 'javascript', 'python', 'react-native', 'java']",2
vuejs,Not Mention,"['JavaScript', 'TypeScript', 'HTML', 'Vue', 'CSS']","['vue', 'javascript', 'vuex', 'vue-router', 'eslint']",1
tensorflow,Not Mention,"['Jupyter Notebook', 'Python', 'C++', 'TypeScript', 'MLIR']","['tensorflow', 'machine-learning', 'deep-learning', 'python', 'neural-network']",0
microsoft,Have Guideline,"['C#', 'TypeScript', 'C++', 'C', 'PHP']","['sdk', 'cpp', 'microsoft', 'application-insights', 'azure']",0
github,Allowed,"['Ruby', 'C', 'Vim Script', 'Perl', 'C++']","['ruby', 'git', 'hubot-script', 'rubygem', 'jekyll']",2
airbnb,Allowed,"['JavaScript', 'Java', 'HTML', 'Python', 'Scala']","['javascript', 'naming-conventions', 'style-guide', 'styleguide', 'android']",1
huggingface,Allowed,"['Jupyter Notebook', 'Python', 'MDX', 'C++', 'TypeScript']","['nlp', 'machine-learning', 'pytorch', 'deep-learning', 'transformers']",0
vercel,Not Mention,"['JavaScript', 'TypeScript', 'Rust', 'MDX', 'CSS']","['vercel', 'nextjs', 'react', 'cli', 'async']",1
electron,Not Mention,"['C++', 'TypeScript', 'Python', 'JavaScript', 'Rust']","['electron', 'javascript', 'hacktoberfest', 'chrome', 'c-plus-plus']",0
kubernetes,Allowed,"['Go', 'HTML', 'Shell', 'HCL', 'Python']","['k8s-staging', 'kubernetes', 'k8s-sig-cloud-provider', 'go', 'cncf']",1
nodejs,Not Mention,"['JavaScript', 'C++', 'Python', 'C', 'HTML']","['nodejs', 'node', 'iojs', 'javascript', 'mit']",2
langchain-ai,Have Guideline,"['HTML', 'Jupyter Notebook', 'Python', 'TypeScript', 'Rich Text Format']","['langgraph', 'langgraph-template', 'langchain', 'langchain-python', 'llm']",1
rust-lang,Have Guideline,"['Rust', 'C++', 'HTML', 'C', 'Markdown']","['rust', 'hacktoberfest', 'compiler', 'rust-infra', 'cargo']",2
denoland,Not Mention,"['HTML', 'TypeScript', 'C++', 'C', 'Python']","['deno', 'typescript', 'rust', 'fresh', 'javascript']",2
angular,Not Mention,"['JavaScript', 'TypeScript', 'HTML', 'CSS', 'SCSS']","['angular', 'javascript', 'angularjs-material', 'material-design', 'angularjs']",1
ant-design,Allowed,"['HTML', 'TypeScript', 'JavaScript', 'CSS', 'Less']","['ant-design', 'react', 'antd', 'typescript', 'javascript']",1
papers-we-love,Not Mention,"['JavaScript', 'CSS', 'Jupyter Notebook', 'HTML', 'SCSS']","['computer-science', 'meetup', 'read-papers', 'papers', 'programming']",1
tauri-apps,Not Mention,"['Rust', 'TypeScript', 'MDX', 'JavaScript', 'C']","['tauri-plugin', 'tauri', 'rust', 'gui', 'hacktoberfest']",0
pytorch,Not Mention,"['HTML', 'Python', 'C++', 'Jupyter Notebook', 'C']","['pytorch', 'machine-learning', 'deep-learning', 'python', 'neural-network']",2
storybookjs,Allowed,"['TypeScript', 'JavaScript', 'MDX', 'CSS', 'Vue']","['storybook', 'react', 'testing', 'react-native', 'addon']",1
supabase,Not Mention,"['C', 'TypeScript', 'MDX', 'Python', 'JavaScript']","['postgres', 'postgresql', 'supabase', 'database', 'auth']",0
sveltejs,,"['JavaScript', 'TypeScript', 'Svelte', 'HTML', 'CSS']","['svelte', 'sveltejs', 'eslint-plugin', 'eslint', 'template']",1
openai,Not Mention,"['Jupyter Notebook', 'Go', 'C', 'C++', 'Python']","['paper', 'machine-learning', 'reinforcement-learning', 'evolutionary-strategy', 'continuous-control']",2
laravel,Not Mention,"['PHP', 'Blade', 'TypeScript', 'Vue', 'JavaScript']","['laravel', 'php', 'framework', 'auth', 'monitoring']",0
home-assistant,Not Mention,"['Python', 'TypeScript', 'Swift', 'Makefile', 'Kotlin']","['hacktoberfest', 'home-assistant', 'home-automation', 'iot', 'hass']",0
spring-projects,Not Mention,"['Java', 'C#', 'Kotlin', 'JavaScript', 'HTML']","['spring', 'java', 'framework', 'spring-data', 'ddd']",1
elastic,Not Mention,"['TypeScript', 'Java', 'C#', 'JavaScript', 'Go']","['elasticsearch', 'client', 'search', 'java', 'kibana']",1
coder,Not Mention,"['C', 'Nix', 'TypeScript', 'Go', 'Ruby']","['coder', 'vscode', 'go', 'golang', 'ide']",0
grafana,Not Mention,"['Go', 'TypeScript', 'Ruby', 'Jsonnet', 'JavaScript']","['grafana', 'monitoring', 'load-testing', 'prometheus', 'performance-testing']",0
python,Have Guideline,"['Python', 'C', 'reStructuredText', 'HTML', 'C++']","['python', 'translation', 'psf', 'types', 'typing']",2
strapi,,"['JavaScript', 'TypeScript', 'SCSS', 'HTML', 'CSS']","['strapi', 'starter', 'template', 'nodejs', 'javascript']",1
apache,Have Guideline,"['Java', 'HTML', 'C#', 'C', 'C++']","['java', 'build-management', 'maven', 'network-server', 'network-client']",2
ansible,Not Mention,"['Python', 'HTML', 'PowerShell', 'JavaScript', 'Shell']","['docker', 'docker-image', 'docker-container', 'ansible-test', 'ansible']",1
twitter,Not Mention,"['JavaScript', 'Scala', 'Java', 'Python', 'C']","['twitter', 'finagle', 'java', 'scala', 'ios']",2
FuelLabs,Not Mention,"['Rust', 'TypeScript', 'Sway', 'JavaScript', 'Nix']","['fuel', 'ethereum', 'sway', 'blockchain', 'wallet']",0
atom,Not Mention,"['JavaScript', 'CoffeeScript', 'Less', 'C++', 'CSS']","['atom', 'coffeescript', 'snippets', 'tree-sitter', 'editor']",2
zed-industries,Not Mention,"['TypeScript', 'Rust', 'C++', 'C', 'JavaScript']","['text-editor', 'zed', 'gpui', 'rust-lang']",0
localstack,Not Mention,"['Python', 'Go', 'Java', 'C', 'JavaScript']","['localstack', 'aws', 'python', 'cloud', 'serverless']",2
NationalSecurityAgency,Not Mention,"['Java', 'C', 'Groovy', 'C++', 'Python']","['hacktoberfest', 'qgis', 'accumulo', 'plugin', 'mgrs']",2
rails,Not Mention,"['Ruby', 'HTML', 'JavaScript', 'CSS', 'Rust']","['rails', 'mvc', 'html', 'activerecord', 'activejob']",1
