cluster,language,policy_group,intercept,trend_before,level_change,slope_change,p_level,p_slope,r_squared
0,C++,LLM_Positive,0.005788326304182845,0.00032393569692459304,-0.036857075342578524,0.0008157034142595561,0.015149533925731823,0.14101584399531827,0.11994336413773621
0,Python,LLM_Positive,-0.005141123082748411,0.0007836980725268637,0.047644191800509,0.0015637156114357911,0.006533186764433447,0.014781489829135607,0.6844919612954388
0,C,LLM_Positive,0.10561569872558232,-0.0004274258899973623,-0.00019354712359752124,0.00015990321222957027,0.9951591401593051,0.8913169530041347,0.06606036881085309
0,Jupyter Notebook,LLM_Positive,-0.006709083226227411,0.00015538114543183106,0.017076060173832522,0.0006403889192520613,0.0036861237142100413,0.00300463453488144,0.5921113399785634
0,HTML,LLM_Positive,-0.010780279381790518,0.0005929708471933717,-0.054445311627637855,-0.0010293170967681582,9.335296916959533e-06,0.02009281187441034,0.3555233480089822
0,C++,LLM_Negative,0.0021840749403600804,2.3832248804447038e-05,-0.005615918768200482,-2.383224880444603e-05,0.20283579642685123,0.8812553632434764,0.020973785965298197
0,Python,LLM_Negative,0.03542291573306897,0.0006223240801375202,-0.005323115051294895,0.0011520635765375417,0.9059896376161419,0.48114777038447243,0.090756070210542
0,C,LLM_Negative,0.06861413446170099,0.0017838113533124632,-0.2633794259542253,0.005502501780102455,0.0001288140751222212,0.025371099634480844,0.14107093481522515
0,Jupyter Notebook,LLM_Negative,0.0,0.0,0.0,0.0,,,
0,HTML,LLM_Negative,0.011270007305625456,-9.174307504432856e-05,0.0019409955007578673,9.174307504432823e-05,0.7737711347471182,0.7079006816284996,0.03855132388321425
0,C++,Not Mention,0.13804765809343736,-0.0014779622869834897,0.019733393477533376,0.0004602239961809629,0.4111702900381041,0.5857818940652006,0.29842479613996864
0,Python,Not Mention,0.3045771822267319,0.005892358920884929,-0.1554481574388991,-0.0075991964205356175,0.0011053557715705585,8.87959996948436e-06,0.46115148966326436
0,C,Not Mention,0.04197231575933014,-0.0005867448161219744,0.011762249792571823,0.0005067639984074025,0.3617792217169088,0.2647269727197317,0.12518305836439936
